Message Type,Transmission Type,SessionID,AircraftID,HexIdent,FlightID,Date_MSG_Generated,Time_MSG_Generated,Date_MSG_Logged,Time_MSG_Logged,Callsign,Altitude,GroundSpeed,Track,Latitude,Longitude,VerticalRate,Squawk,Alert,Emergency,SPI,IsOnGround
MSG,4,0,0,AE5A8C,0,2026/02/05,19:56:07.000,2026/02/05,19:56:07.000,,,101.000000,92.000000,,,0,,,,,
MSG,1,0,0,AE5BA7,0,2026/02/05,19:56:07.000,2026/02/05,19:56:05.000,GRYHK04,,,,,,,,,,,
MSG,3,0,0,AE5BA7,0,2026/02/05,19:56:07.000,2026/02/05,19:56:05.000,,4950,,,37.259480,-76.125580,,,,,,
MSG,4,0,0,AE5BA7,0,2026/02/05,19:56:07.000,2026/02/05,19:56:05.000,,,215.000000,200.000000,,,-64,,,,,
MSG,1,0,0,AE5C95,0,2026/02/05,19:56:07.000,2026/02/05,19:56:07.000,KING01,,,,,,,,,,,
MSG,3,0,0,AE5C95,0,2026/02/05,19:56:07.000,2026/02/05,19:56:07.000,,23025,,,47.931198,-123.773621,,,,,,
MSG,4,0,0,AE5C95,0,2026/02/05,19:56:07.000,2026/02/05,19:56:07.000,,,285.413727,143.692200,,,-64,,,,,
MSG,1,0,0,AE6017,0,2026/02/05,19:56:07.000,2026/02/05,19:56:06.000,KNIFE51,,,,,,,,,,,
MSG,3,0,0,AE6017,0,2026/02/05,19:56:07.000,2026/02/05,19:56:06.000,,3100,,,33.828232,-117.583702,,,,,,
MSG,4,0,0,AE6017,0,2026/02/05,19:56:07.000,2026/02/05,19:56:06.000,,,107.000000,217.000000,,,1280,,,,,
MSG,1,0,0,AE603F,0,2026/02/05,19:56:07.000,2026/02/05,19:56:03.000,SPUD40,,,,,,,,,,,
MSG,3,0,0,AE603F,0,2026/02/05,19:56:07.000,2026/02/05,19:56:03.000,,2900,,,31.742065,-85.713608,,,,,,
MSG,4,0,0,AE603F,0,2026/02/05,19:56:07.000,2026/02/05,19:56:03.000,,,106.000000,353.000000,,,-64,,,,,
MSG,1,0,0,AE6046,0,2026/02/05,19:56:07.000,2026/02/05,19:56:07.000,OTIS04,,,,,,,,,,,
MSG,3,0,0,AE6046,0,2026/02/05,19:56:07.000,2026/02/05,19:56:07.000,,6875,,,31.015274,-85.082214,,,,,,
MSG,4,0,0,AE6046,0,2026/02/05,19:56:07.000,2026/02/05,19:56:07.000,,,134.000000,0.000000,,,256,,,,,
MSG,1,0,0,AE622B,0,2026/02/05,19:56:07.000,2026/02/05,19:56:05.000,WAKE49,,,,,,,,,,,
MSG,3,0,0,AE622B,0,2026/02/05,19:56:07.000,2026/02/05,19:56:05.000,,0,,,34.950394,-106.575058,,,,,,
MSG,4,0,0,AE622B,0,2026/02/05,19:56:07.000,2026/02/05,19:56:05.000,,,98.478424,350.059418,,,640,,,,,
MSG,1,0,0,AE6242,0,2026/02/05,19:56:07.000,2026/02/05,19:56:07.000,MUSL,,,,,,,,,,,
MSG,3,0,0,AE6242,0,2026/02/05,19:56:07.000,2026/02/05,19:56:07.000,,900,,,38.751152,-77.089294,,,,,,
MSG,4,0,0,AE6242,0,2026/02/05,19:56:07.000,2026/02/05,19:56:07.000,,,101.000000,163.000000,,,0,,,,,
MSG,1,0,0,AE627D,0,2026/02/05,19:56:07.000,2026/02/05,19:56:07.000,ROKT25,,,,,,,,,,,
MSG,3,0,0,AE627D,0,2026/02/05,19:56:07.000,2026/02/05,19:56:07.000,,1300,,,30.392303,-87.208435,,,,,,
